SRX7262452	hg38	ATAC-Seq	ATAC-Seq	Others	Bladder cancer	NA	46067636,63.6,22.9,35670	GSM4201674: ATAC-seq from Luminal2/BMP k.o CAF; Homo sapiens; ATAC-seq	source_name=Human bladder tumor organoid	subtype=luminal	tissue=Bladder tumor	passages=7-10	genotype=wild type	description=BMP4, 5 were knocked out in surrounding reconstituted CAF
SRX7290498	hg38	ATAC-Seq	ATAC-Seq	Blood	Naive T cells	NA	64501804,66.4,21.1,42687	GSM4210412: 96h PF-9927 activated CD3+ rep 1; Homo sapiens; ATAC-seq	source_name=96h PF-9927 activated CD3+	tissue=peripheral blood	cell type=Naive T lymphocytes	treatment=96h PF-9927
SRX7401800	hg38	ATAC-Seq	ATAC-Seq	Epidermis	Melanoma cell line	NA	57563815,81.6,45.4,111606	GSM4223598: OmniATAC-seq MM001 TFAP2A KD; Homo sapiens; ATAC-seq	source_name=Melanoma cell line	cell line=MM001	tissue type=Cutaneous melanoma	condition=TFAP2A_knock-down
SRX7409739	hg38	ATAC-Seq	ATAC-Seq	Lung	A549	Primary Tissue=Lung|Tissue Diagnosis=Carcinoma	83522083,87.0,83.8,30054	GSM4224432: Lib10:H2228 H1975 A549 H838 HCC827 Mixture 10X ATACSeq; Homo sapiens; ATAC-seq	source_name=lung adenocarcinoma	tissue=mixture of 5 human lung adenocarcinoma cell lines: H2228, H1975, A549, H838 and HCC827
SRX7478479	hg38	ATAC-Seq	ATAC-Seq	Blood	GM11906	NA	1124594,94.3,79.6,0	GSM4238492: MERFF-63-S76; Homo sapiens; ATAC-seq	source_name=Coriell cell line	biomaterial_provider=Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM11906	cell line=GM11906	cell type=lymphoblastoid cell line
SRX7498520	hg38	ATAC-Seq	ATAC-Seq	Uterus	Ca Ski	Primary Tissue=Cervix|Tissue Diagnosis=Carcinoma	46485702,52.9,4.2,43477	GSM4249094: ATAC-seq Caski; Homo sapiens; ATAC-seq	source_name=Caski	cell line=Caski	chip antibody=n/a	sequencing type=Paired
SRX7515903	hg38	ATAC-Seq	ATAC-Seq	Blood	CD4+ T cells	NA	113798383,99.2,9.8,24528	GSM4118997: ATAC-seq, Primary CD4+ T-cells, 4hr stimulated, replicates 1-3; Homo sapiens; ATAC-seq	source_name=Primary CD4+ T-cells	cell type=Primary CD4+ T-cells	stimulation=4hr CD3/CD28 Dynabeads
SRX7540657	hg38	ATAC-Seq	ATAC-Seq	Adipocyte	Subcutaneous adipocytes	NA	39732373,98.7,30.5,19494	GSM4259665: ATACseq Sub9 ABD rep2; Homo sapiens; ATAC-seq	source_name=subcutaneous abdominal fat	body type=apple	cell type=adipocytes	fat depot=subcutaneous abdominal fat	Sex=female
SRX7556668	hg38	ATAC-Seq	ATAC-Seq	Neural	Glutamatergic neurons	NA	48382820,87.8,6.2,4318	GSM4271834: S2 GLU PVC; Homo sapiens; ATAC-seq	source_name=primary visual cortex	tissue=primary visual cortex	cell type=glutamatergic neurons	gender=male	age of death=20	alcohol toxicology=negative	Cause of death=sudden cardiac death
SRX7644735	hg38	ATAC-Seq	ATAC-Seq	Bone	143B	Primary Tissue=Bone|Tissue Diagnosis=Osteosarcoma	40216758,54.3,4.1,12081	GSM4287834: 143B CRISPR-VO [ATAC-seq]; Homo sapiens; ATAC-seq	source_name=osteosarcoma cell line	cell line=143B	cell type=Osteosarcoma cell line	experimental condition=Non-targeting CRISPR
SRX7685620	hg38	ATAC-Seq	ATAC-Seq	Pancreas	SUIT-2	Primary Tissue=Pancreas|Tissue Diagnosis=Adenocarcinoma Tubular	34907152,70.6,9.4,25722	GSM4298982: SUIT-2 Reverse Adapted ATAC clone4; Homo sapiens; ATAC-seq	source_name=SUIT-2 cells	cell line=SUIT-2
SRX7685720	hg38	ATAC-Seq	ATAC-Seq	Lung	NCI-H1944	Primary Tissue=Lung|Site of Extraction=Soft Tissue|Tissue Diagnosis=Carcinoma Non-Small Cell	53446178,91.0,10.6,25512	GSM4299082: H1944 K785R shSMARCA2 R1 (ATAC-seq); Homo sapiens; ATAC-seq	source_name=NCI-H1944 cells	cell line=lung cancer cell line NCI-H1944	construct=Cells transduced with pLenti6.3-SMARCA4-K785R, selected with 8ug/mL blasticidin for 5 days.	hairpin=After blasticidin selection, cells were infected with pLKO-shSMARCA2. Cells were selected for 72 h with 3ug/mL puromycin.	sample_id=SAM24358275
SRX7713658	hg38	ATAC-Seq	ATAC-Seq	Digestive tract	Intestinal organoids	NA	43736851,96.5,59.7,1932	GSM4308128: SMARCA4 CTRL atacseq REP1; Homo sapiens; ATAC-seq	source_name=SMARCA4_CTRL_ATAC-seq	cell type=organoids	tissue=Human small intestine	genotype=APC-KO, SMARCA4-KO
SRX7735968	hg38	ATAC-Seq	ATAC-Seq	Gonad	OVCAR-8	Primary Tissue=Ovary|Tissue Diagnosis=Carcinoma	172823187,75.2,13.2,101802	GSM4317807: Ovarian cancer cell line; Homo sapiens; ATAC-seq	source_name=OVCAR8	cell type=OVCAR8	genotype=WT	passage=10-15
SRX7805829	hg38	ATAC-Seq	ATAC-Seq	Neural	Neural Stem Cells	MeSH Description=Self-renewing cells that generate the main phenotypes of the nervous system in both the embryo and adult. Neural stem cells are precursors to both NEURONS and NEUROGLIA.	43916922,34.7,30.9,8688	GSM4340227: ATAC sequencing of hNSCs [ATAC-NSC rep1]; Homo sapiens; ATAC-seq	source_name=Neural stem cells	cell type=Neural stem cells	genotype=WT	passage=p5
SRX7866141	hg38	ATAC-Seq	ATAC-Seq	Kidney	SK-JHRCC-12	NA	58567967,91.7,15.5,127146	GSM4391896: ATAC-Seq JHRCC12 SETD2 mut rep1; Homo sapiens; ATAC-seq	source_name=Clear cell renal cell carcinoma cells	cell line=JHRCC12	genotype=SETD2-deficient
SRX7902854	hg38	ATAC-Seq	ATAC-Seq	Blood	Peripheral blood mononuclear cells	NA	8834376,82.3,23.7,26132	GSM4409138: cDC2 D3 rep2; Homo sapiens; ATAC-seq	source_name=peripheral blood mononuclear cells	cell type=cDC2	donor id=Donor3	donor sex=female	treatment=none	sequencing batch=1	dataset=1
SRX7963340	hg38	ATAC-Seq	ATAC-Seq	Blood	Monocytes	MeSH Description=Large, phagocytic mononuclear leukocytes produced in the vertebrate BONE MARROW and released into the BLOOD; contain a large, oval or somewhat indented nucleus surrounded by voluminous cytoplasm and numerous organelles.	38791145,63.7,25.5,9274	GSM4425560: ATAC-seq D6 MDMs LPS 6h; Homo sapiens; ATAC-seq	source_name=Human monocyte-derived macrophages	cell type=Human monocyte-derived macrophages	donor number=D6	treatment=LPS-6h
