BioSample ID	Experiment type	extraction answer	mapping answer ID	mapping answer label
SAMD00011704	Histone	H2126	CVCL:1532	NCI-H2126
SAMD00013207	Histone	HEK293	CVCL:0045	HEK293
SAMD00043224	Histone	ED		
SAMD00055696	Histone	HB1119	CVCL:8227	HB11;19
SAMD00123367	ATAC-Seq	H1299	CVCL:0060	NCI-H1299
SAMD00144947	TFs and others	CAL1		
SAMD00235411	ATAC-Seq	SKNO-1	CVCL:2196	SKNO-1
SAMD00316482	ATAC-Seq	MDA-MB-453	CVCL:0418	MDA-MB-453
SAMD00324177	ATAC-Seq	NCI-H2122	CVCL:1531	NCI-H2122
SAMD00596646	ATAC-Seq	HFF-1	CVCL:3285	HFF-1
SAMEA103884999	ATAC-Seq			
SAMEA104717429	ATAC-Seq			
SAMEA1706519	TFs and others			
SAMEA1929670	Histone	H9	CVCL:9773	WA09
SAMEA2396196	TFs and others	HL60	CVCL:0002	HL-60
SAMEA4028888	ATAC-Seq			
SAMEA4075774	TFs and others			
SAMEA4753711	ATAC-Seq	Het1A	CVCL:3702	HET-1A
SAMEA4799826	ATAC-Seq	L3.6pl	CVCL:0384	L3.6pl
SAMEA4957855	ATAC-Seq			
SAMEA5424632	ATAC-Seq			
SAMEA5547874	ATAC-Seq	Caki1	CVCL:0234	Caki-1
SAMEA6479266	ATAC-Seq	RS4;11	CVCL:0093	RS4;11
SAMEA8492014	ATAC-Seq	OE19	CVCL:1622	OE19
SAMEA8693437	ATAC-Seq			
SAMN00006882	TFs and others	UPR9		
SAMN00010337	RNA polymerase	GM12892	CVCL:9631	GM12892
SAMN00010679	Histone	T24	CVCL:0554	T24
SAMN00010935	Histone	WIBR3	CVCL:9767	WIBR3
SAMN00011725	Histone			
SAMN00113249	TFs and others			
SAMN00188971	Histone			
SAMN00189373	Histone	NCCIT	CVCL:1451	NCC-IT
SAMN00619129	TFs and others	SKNO-1	CVCL:2196	SKNO-1
SAMN00738201	TFs and others	H3396	CVCL:D348	H3396
SAMN00738318	TFs and others	GM12878	CVCL:7526	GM12878
SAMN00739223	TFs and others	VCaP	CVCL:2235	VCaP
SAMN00760176	Histone	SE160		
SAMN00792919	Histone	H1	CVCL:9771	WA01
SAMN01129907	Histone			
SAMN01174239	Histone			
SAMN01874812	Histone			
SAMN02048836	TFs and others			
SAMN02198091	TFs and others			
SAMN02199196	RNA polymerase	IMR90	CVCL:0347	IMR-90
SAMN02204424	Histone	GM19239	CVCL:9634	GM19239
SAMN02359414	Histone	GM10847	CVCL:N799	GM10847
SAMN02363670	TFs and others	LoVo	CVCL:0399	LoVo
SAMN02364587	TFs and others	GP5d	CVCL:1235	GP5d
SAMN02469158	TFs and others			
SAMN02673401	Histone			
SAMN02677606	Histone	AGS	CVCL:0139	AGS
SAMN02943049	Histone			
SAMN02947372	TFs and others			
SAMN03001998	Histone	JJN-3	CVCL:2078	JJN-3
SAMN03069916	Histone			
SAMN03120338	RNA polymerase			
SAMN03247009	TFs and others	L1236	CVCL:2096	L-1236
SAMN03273130	Histone	OCI-ly1	CVCL:1879	OCI-Ly1
SAMN03275794	Histone			
SAMN03290581	Histone	MOLM14	CVCL:7916	MOLM-14
SAMN03339163	Histone			
SAMN03339919	Histone			
SAMN03366098	TFs and others			
SAMN03782267	RNA polymerase	IMEC	CVCL:U969	IMEC
SAMN03857517	Histone	TC-797	CVCL:C8YZ	TC-797
SAMN03946420	Histone	RS4;11	CVCL:0093	RS4;11
SAMN04004036	TFs and others	ZR-75-1	CVCL:0588	ZR-75-1
SAMN04053601	TFs and others	RL95-2	CVCL:0505	RL95-2
SAMN04110975	Histone			
SAMN04168597	TFs and others	MDA_MB_453	CVCL:0418	MDA-MB-453
SAMN04229273	Histone	GSC8		
SAMN04270717	Histone			
SAMN04350727	Histone			
SAMN04370259	Histone			
SAMN04432220	TFs and others	P493	CVCL:6783	P493-6
SAMN04958926	Histone			
SAMN04990212	Histone	NCI-H1299-EGFP	CVCL:XB25	NCI-H1299-EGFP
SAMN05214333	TFs and others	SKMEL147	CVCL:3876	SK-MEL-147
SAMN05509685	Histone	SKBR3	CVCL:0033	SK-BR-3
SAMN05510500	Histone	RMS	CVCL:W527	RMS
SAMN05514005	Histone			
SAMN05571199	Histone			
SAMN05578157	Histone			
SAMN05587084	Histone	DLD1	CVCL:0248	DLD-1
SAMN05615480	TFs and others	RCH-ACV	CVCL:1851	RCH-ACV
SAMN05930281	TFs and others			
SAMN05944026	Histone	HuH7	CVCL:0336	Huh-7
SAMN05968151	Histone			
SAMN06054373	Histone	MV4;11	CVCL:0064	MV4-11
SAMN06163727	Histone			
SAMN06165849	Histone	D341	CVCL:0018	D341 Med
SAMN06234154	Histone			
SAMN06273137	ATAC-Seq			
SAMN06281731	TFs and others	SKNMC	CVCL:0530	SK-N-MC
SAMN06294517	Histone			
SAMN06312754	TFs and others	MOLM13	CVCL:2119	MOLM-13
SAMN06320319	TFs and others	NB-1643	CVCL:5627	NB-1643
SAMN06470132	TFs and others	CHL-1	CVCL:1122	CHL-1
SAMN06474273	RNA polymerase	MOLT4	CVCL:0013	MOLT-4
SAMN06616141	ATAC-Seq			
SAMN06629446	ATAC-Seq			
SAMN06642822	Histone			
SAMN06687719	ATAC-Seq			
SAMN06688196	ATAC-Seq	HepG2	CVCL:0027	Hep-G2
SAMN06701880	TFs and others	Rec-1	CVCL:1884	REC-1
SAMN06706268	Histone	MRC5	CVCL:0440	MRC-5
SAMN06706912	Histone			
SAMN06711434	ATAC-Seq	WM989	CVCL:0B84	WM989
SAMN07210947	TFs and others	THP1	CVCL:0006	THP-1
SAMN07258791	TFs and others	J-Lat A72		
SAMN07269643	ATAC-Seq			
SAMN07274458	Histone	WM164	CVCL:7928	WM164
SAMN07312216	ATAC-Seq	PC9	CVCL:B260	PC-9
SAMN07339217	ATAC-Seq	UCLA		
SAMN07361140	ATAC-Seq			
SAMN07423758	ATAC-Seq	GM02171	CVCL:1H55	GM02171
SAMN07460479	TFs and others	MCF10A	CVCL:0598	MCF-10A
SAMN07518904	Histone	786-O	CVCL:1051	786-O
SAMN07614499	ATAC-Seq	IMR90	CVCL:0347	IMR-90
SAMN07633311	Histone	Huh-7.5	CVCL:7927	Huh-7.5
SAMN07757284	Histone			
SAMN07795402	ATAC-Seq			
SAMN07815081	Histone			
SAMN08035713	ATAC-Seq	T47D	CVCL:0553	T-47D
SAMN08045017	ATAC-Seq	OCI-AML2	CVCL:1619	OCI-AML-2
SAMN08045257	ATAC-Seq	hTert-HME1	CVCL:3383	hTERT-HME1
SAMN08057878	TFs and others			
SAMN08118233	TFs and others	HT1080	CVCL:0317	HT-1080
SAMN08138333	TFs and others	JMSU-1	CVCL:2081	JMSU-1
SAMN08144802	ATAC-Seq	Jurkat	CVCL:0065	Jurkat
SAMN08165046	ATAC-Seq			
SAMN08178704	Histone			
SAMN08200557	ATAC-Seq			
SAMN08204728	ATAC-Seq			
SAMN08224287	ATAC-Seq	HAP1	CVCL:Y019	HAP1
SAMN08326919	Histone	Calu3	CVCL:0609	Calu-3
SAMN08348543	TFs and others			
SAMN08354857	TFs and others	MDA-MB-134	CVCL:0617	MDA-MB-134-VI
SAMN08370443	ATAC-Seq	G401	CVCL:0270	G-401
SAMN08378922	TFs and others			
SAMN08405447	ATAC-Seq	AC16		
SAMN08434958	ATAC-Seq			
SAMN08448353	ATAC-Seq			
SAMN08457713	ATAC-Seq	BJ-5ta	CVCL:6573	BJ1-hTERT
SAMN08623595	RNA polymerase	LPS141	CVCL:M823	LPS141
SAMN08713072	Histone			
SAMN08796151	Histone			
SAMN08833129	TFs and others	H2171	CVCL:1536	NCI-H2171
SAMN08896955	ATAC-Seq	Brx68		
SAMN08982087	ATAC-Seq	2356		
SAMN08982205	Histone	MDA-MB-436	CVCL:0623	MDA-MB-436
SAMN09080968	ATAC-Seq			
SAMN09205921	ATAC-Seq	RWPE1	CVCL:3791	RWPE-1
SAMN09223825	TFs and others	Kasumi-1	CVCL:0589	Kasumi-1
SAMN09253946	ATAC-Seq	NCI-H69	CVCL:1579	NCI-H69
SAMN09254222	Histone	SUM159PT	CVCL:5423	SUM159PT
SAMN09272127	ATAC-Seq	RL95_2	CVCL:0505	RL95-2
SAMN09276576	ATAC-Seq			
SAMN09284051	Histone	NCI-H211	CVCL:1529	NCI-H211
SAMN09291893	ATAC-Seq	TF1	CVCL:0559	TF-1
SAMN09293686	ATAC-Seq			
SAMN09407805	TFs and others			
SAMN09429098	Histone			
SAMN09430901	Histone			
SAMN09492423	ATAC-Seq			
SAMN09496831	ATAC-Seq	GM12878	CVCL:7526	GM12878
SAMN09501694	TFs and others	RH4		
SAMN09532155	ATAC-Seq	A673	CVCL:0080	A-673
SAMN09724723	TFs and others	BIN-67	CVCL:S987	BIN-67
SAMN09742271	TFs and others			
SAMN09768731	TFs and others	MDA-MB-435	CVCL:0417	MDA-MB-435
SAMN09769848	ATAC-Seq			
SAMN09770761	ATAC-Seq	NCI-H2227	CVCL:1542	NCI-H2227
SAMN09802019	Histone	HEYA8	CVCL:8878	HEY A8
SAMN09832427	ATAC-Seq	C4-2B	CVCL:4784	LNCaP C4-2B
SAMN09839561	ATAC-Seq			
SAMN09873848	ATAC-Seq			
SAMN09917808	Histone	SMMC-7721	CVCL:0534	SMMC-7721
SAMN09924997	Histone			
SAMN09948042	ATAC-Seq			
SAMN09953980	ATAC-Seq			
SAMN10026955	ATAC-Seq	OSU-CLL	CVCL:Y382	OSU-CLL
SAMN10128010	Histone	PANC1	CVCL:0480	PANC-1
SAMN10138840	Histone			
SAMN10148309	Histone	ST88-14	CVCL:8916	ST88-14
SAMN10150529	TFs and others			
SAMN10160937	Histone			
SAMN10228273	Histone	NALM6	CVCL:0092	NALM-6
SAMN10258646	Histone	KATOIII	CVCL:0371	KATO III
SAMN10280103	Histone	MDA-MB-468	CVCL:0419	MDA-MB-468
SAMN10289900	ATAC-Seq	H1703	CVCL:1490	NCI-H1703
SAMN10340257	TFs and others			
SAMN10355962	ATAC-Seq			
SAMN10378871	Histone	UWB1.289	CVCL:B079	UWB1.289
SAMN10391725	ATAC-Seq	U2OS	CVCL:0042	U2OS
SAMN10430956	ATAC-Seq			
SAMN10431462	ATAC-Seq			
SAMN10492201	ATAC-Seq			
SAMN10494993	TFs and others			
SAMN10574837	ATAC-Seq			
SAMN10596804	ATAC-Seq	JK1	CVCL:2079	JK-1
SAMN10597936	ATAC-Seq			
SAMN10611160	TFs and others			
SAMN10619036	Histone			
SAMN10686494	ATAC-Seq			
SAMN10686566	TFs and others			
SAMN10689195	ATAC-Seq	WIBR3	CVCL:9767	WIBR3
SAMN10699290	TFs and others	MEL270	CVCL:C302	Mel270
SAMN10721742	ATAC-Seq	TTC1240	CVCL:8002	TTC-1240
SAMN10721751	TFs and others	TTC1240	CVCL:8002	TTC-1240
SAMN10730292	ATAC-Seq			
SAMN10737711	ATAC-Seq			
SAMN10764533	TFs and others	MEG01	CVCL:0425	MEG-01
SAMN10833646	TFs and others			
SAMN10873654	Histone			
SAMN10881046	Histone	SVOG3e	CVCL:IN98	SVOG-3e
SAMN10882075	ATAC-Seq			
SAMN10904731	Histone	KG1	CVCL:0374	KG-1
SAMN10904990	Histone			
SAMN10926448	ATAC-Seq			
SAMN10983197	Histone			
SAMN11082977	ATAC-Seq			
SAMN11122076	ATAC-Seq	Cal27	CVCL:1107	CAL-27
SAMN11131203	TFs and others	SHEP	CVCL:0524	SH-EP
SAMN11156925	TFs and others			
SAMN11252836	TFs and others	CTV-1	CVCL:1150	CTV-1
SAMN11282637	ATAC-Seq			
SAMN11290792	ATAC-Seq	MOLT-4	CVCL:0013	MOLT-4
SAMN11309268	Histone			
SAMN11357740	ATAC-Seq			
SAMN11402498	Histone	A2780	CVCL:0134	A2780
SAMN11414626	ATAC-Seq	12Z	CVCL:0Q73	12Z
SAMN11463459	ATAC-Seq			
SAMN11505973	Histone	WI-38hTERT/GFP-RAF1-ER	CVCL:N806	WI-38/hTERT/GFP-RAF-ER
SAMN11509971	Histone			
SAMN11784676	Histone	KYSE150	CVCL:1348	KYSE-150
SAMN11822486	ATAC-Seq	BLaER	CVCL:VQ57	BLaER1
SAMN11822520	TFs and others	BLaER	CVCL:VQ57	BLaER1
SAMN11831865	TFs and others	KMS11	CVCL:2989	KMS-11
SAMN11840189	TFs and others	PC9	CVCL:B260	PC-9
SAMN11893192	ATAC-Seq	MCF10A	CVCL:0598	MCF-10A
SAMN11917881	Histone			
SAMN12018382	TFs and others			
SAMN12077980	ATAC-Seq			
SAMN12127387	ATAC-Seq	EndoC-BH1	CVCL:L909	EndoC-betaH1
SAMN12137363	RNA polymerase	Ishikawa	CVCL:2529	Ishikawa
SAMN12237798	Histone			
SAMN12254851	Histone	SUDHL6	CVCL:2206	SU-DHL-6
SAMN12275841	ATAC-Seq	MCF7	CVCL:0031	MCF-7
SAMN12334496	Histone	NGP	CVCL:2141	NGP
SAMN12498860	ATAC-Seq	HSJD-DIPG007	CVCL:VU70	HSJD-DIPG-007
SAMN12499211	ATAC-Seq			
SAMN12541232	ATAC-Seq	SCC25		
SAMN12558350	ATAC-Seq	H1	CVCL:9771	WA01
SAMN12607191	ATAC-Seq			
SAMN12691850	ATAC-Seq			
SAMN12723276	Histone	PC-3	CVCL:0035	PC-3
SAMN12742334	ATAC-Seq	BT12	CVCL:M155	BT-12
SAMN12757142	TFs and others	LK2	CVCL:1377	LK-2
SAMN12771474	ATAC-Seq			
SAMN12781042	ATAC-Seq			
SAMN12818063	ATAC-Seq			
SAMN12818074	Histone			
SAMN12856516	Histone			
